,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Number
  5 - 9 Years,127765,129188,129307,127809,126484,126418,125375,123995,124304,123504,121770,121258,122107,127408,131672,135143,140127,145887,148760,153148,159484,163847,165419,167858
  10 - 14 Years,131278,129271,127519,129067,128382,126616,125859,126389,131705,136111,139716,144777,150436,152979,156720,162488,164755,166206,168471,168079,171333,171156,164502,157056
  15 - 19 Years,131016,129472,129616,135565,140148,143726,148595,154191,156520,160106,165902,168335,169321,171364,170490,173123,171880,164842,157175,153652,144277,141851,145401,148230
  20 - 24 Years,146672,150526,155042,158992,162392,168143,170406,171498,173601,172941,175563,174346,167035,159181,155247,145138,141882,144978,147246,147183,149455,151777,153818,154126
  25 - 29 Years,171406,171888,170754,176486,176048,179046,177539,170510,162468,158134,148141,144860,147875,150535,151177,153028,151998,153673,153768,154761,158448,168267,171384,174833
  30 - 34 Years,186798,183289,173860,170116,166984,157519,154155,157831,159506,159164,161151,159438,160226,160119,160439,163114,169768,172605,175934,177199,175176,175767,175982,180139
  35 - 39 Years,168294,162765,164359,169987,170953,172887,170194,170829,169701,169289,171785,178281,180214,183122,183621,180557,177701,177305,180812,186416,194481,203185,208847,212751
  40 - 44 Years,181675,176340,175074,178444,178919,181293,186977,188344,190579,190815,187860,184881,183573,186444,190953,197904,202803,207918,211160,215080,217889,223033,225951,225476
  45 - 49 Years,186959,190381,189870,196309,197125,194157,190371,188587,190730,194832,201406,206204,210769,213158,216203,217998,219940,222526,222161,220262,216768,213768,206243,198883
  50 - 54 Years,197083,190909,187531,193063,197405,203539,207507,211632,213656,216358,218053,219530,221616,220944,218454,214677,209423,202079,194684,188828,182885,178961,174727,162045
  55 - 59 Years,203022,204676,207011,212294,215070,216502,217344,219068,218177,215612,211823,206617,199274,191789,185790,179577,174068,169780,157405,139688,126744,113374,99782,99523
  60 - 64 Years,212405,211483,211537,213415,211036,207104,201624,194359,186965,181084,175097,169631,165331,153084,135540,122850,109013,95709,95480,99895,99276,98498,94076,86790
  65 - 69 Years,199929,193363,185176,180177,174591,168486,162883,158557,146512,129918,117730,104370,91441,90885,94822,94091,92591,88267,81253,76538,70914,68826,68604,67451
  70 - 74 Years,159000,152712,147782,137997,122208,110422,97658,85186,84418,87966,87161,85761,81815,74990,70101,64541,62074,61674,60388,57098,55089,53681,51925,49761
  75 - 79 Years,100004,87890,76316,75925,78893,77825,76371,72720,66510,62007,56799,54216,53577,52307,49072,47108,45275,43233,40911,37897,34058,34351,31955,30164
  80 - 84 Years,64625,63503,60560,55460,51569,46795,44314,43588,42197,39495,37699,36057,34343,32391,30049,27485,25446,23673,22393,21680,20968,20345,19580,18899
  85 - 89 Years,33582,31728,31531,30506,28298,26718,25440,24178,22786,21080,19195,17805,16374,15303,14529,13876,13296,12813,12307,11801,11461,11239,10881,10536
  65 Years & Over,577417,548830,520258,497839,472125,445432,420675,397071,374376,351872,329560,308593,287423,275231,267385,255485,246569,237163,224385,211614,198540,194048,188009,181344
  70 Years & Over,377488,355467,335082,317662,297534,276946,257792,238514,227864,221954,211830,204223,195982,184346,172563,161394,153978,148896,143132,135076,127626,125222,119405,113893
  75 Years & Over,218488,202755,187300,179665,175326,166524,160134,153328,143446,133988,124669,118462,114167,109356,102462,96853,91904,87222,82744,77978,72537,71541,67480,64132
  80 Years & Over,118484,114865,110984,103740,96433,88699,83763,80608,76936,71981,67870,64246,60590,57049,53390,49745,46629,43989,41833,40081,38479,37190,35525,33968
  85 Years & Over,53859,51362,50424,48280,44864,41904,39449,37020,34739,32486,30171,28189,26247,24658,23341,22260,21183,20316,19440,18401,17511,16845,15945,15069
  90 Years & Over,20277,19634,18893,17774,16566,15186,14009,12842,11953,11406,10976,10384,9873,9355,8812,8384,7887,7503,7133,6600,6050,5606,5064,4533
Total Male Chinese,1342109,1324214,1308830,1319485,1313334,1304816,1294477,1284958,1274298,1263390,1253438,1243083,1232532,1223811,1213771,1202304,1192518,1184030,1175376,1167692,1159629,1165274,1157384,1146972
  0 - 4 Years,56094,56990,57749,59427,60480,60879,62284,62699,61424,60566,60585,60023,59517,59935,59558,58464,58515,59242,62195,65073,67496,70956,74227,75731
  5 - 9 Years,65538,66574,66787,66075,65285,65357,64608,63734,63891,63504,62581,62271,62690,65508,68004,69899,72670,75725,77091,79295,82363,84653,85280,86533
  10 - 14 Years,67836,66620,65634,66291,65967,65031,64612,64873,67698,70189,72181,74971,77934,79147,81010,83799,84987,85539,86766,86679,88438,88333,85158,81450
  15 - 19 Years,67292,66618,66746,69768,72330,74281,76915,79841,80955,82752,85499,86838,87165,88172,87763,89241,88584,85294,81479,79679,74957,73739,75623,76921
  20 - 24 Years,75966,78315,80892,82555,84196,87067,88349,88876,90065,89893,91343,90649,86974,82952,80919,75766,74084,75597,76436,75910,76748,78548,79418,79572
  25 - 29 Years,88716,89239,88720,91489,91266,92953,92004,88540,84490,82143,76981,75203,76781,77852,78081,78965,78198,78800,78750,79066,80656,85894,87370,89044
  30 - 34 Years,95354,93531,88891,86850,85027,80156,78424,80258,80945,80800,81719,80647,80792,80722,80822,82088,85509,86750,88232,88736,87398,87587,87676,89809
  35 - 39 Years,83859,81017,81907,84404,84897,85762,84330,84524,84099,83759,84945,88137,89152,90583,90818,89221,87686,87559,89434,92573,96844,101322,104244,106439
  40 - 44 Years,88803,85987,85187,86770,86862,88044,91008,91843,92984,93167,91743,90241,89912,91699,94419,98298,101062,103815,105589,107629,109321,111728,113356,113056
  45 - 49 Years,89797,91660,91586,94804,95153,93749,92067,91608,93179,95819,99628,102501,104978,106477,108047,109137,110157,111541,111198,110191,108767,107330,103544,100053
  50 - 54 Years,94440,91625,90478,93739,96614,100203,102736,105035,106447,107821,108866,109569,110670,110187,108914,107350,104909,101196,97715,94819,91701,89459,87238,80845
  55 - 59 Years,99413,100734,102280,105320,106695,107621,107998,108936,108260,106906,105288,102930,99287,95741,92778,89551,86523,84248,78049,69275,62574,56047,49306,48959
  60 - 64 Years,104827,104416,104601,105211,103935,102184,99688,96036,92618,89718,86583,83560,81241,75141,66498,59940,53308,46704,46341,48340,47950,47478,45572,42354
  65 - 69 Years,97487,94586,90609,88240,85480,82237,79137,76866,70911,62820,56547,50252,43861,43327,45015,44553,43742,41841,38795,36586,33894,32712,32374,31493
  70 - 74 Years,76090,72830,70247,65389,57799,51851,45935,39821,39198,40611,40097,39339,37687,34752,32452,29823,28485,28066,27143,25463,24278,23353,22318,21184
  75 - 79 Years,45332,39883,34344,33929,35116,34453,33673,32210,29623,27528,25130,23770,23225,22393,20831,19675,18615,17512,16265,14992,13434,13660,12651,11963
  80 - 84 Years,26862,26324,25342,23302,21640,19481,18207,17701,16817,15570,14682,13752,12874,11892,10928,9981,9180,8525,8092,7767,7401,7205,6914,6688
  85 - 89 Years,12688,11804,11607,11058,10137,9483,8766,8171,7529,6882,6161,5719,5204,4875,4561,4285,4165,4025,3824,3743,3664,3598,3571,3524
  65 Years & Over,264174,250888,237372,226782,214627,201529,189454,178155,167243,156353,145496,135543,125439,119695,116140,110585,106326,102020,96101,90427,84416,82200,79372,76206
  70 Years & Over,166687,156302,146763,138542,129147,119292,110317,101289,96332,93533,88949,85291,81578,76368,71125,66032,62584,60179,57306,53841,50522,49488,46998,44713
  75 Years & Over,90597,83472,76516,73153,71348,67441,64382,61468,57134,52922,48852,45952,43891,41616,38673,36209,34099,32113,30163,28378,26244,26135,24680,23529
  80 Years & Over,45265,43589,42172,39224,36232,32988,30709,29258,27511,25394,23722,22182,20666,19223,17842,16534,15484,14601,13898,13386,12810,12475,12029,11566
  85 Years & Over,18403,17265,16830,15922,14592,13507,12502,11557,10694,9824,9040,8430,7792,7331,6914,6553,6304,6076,5806,5619,5409,5270,5115,4878
  90 Years & Over,5715,5461,5223,4864,4455,4024,3736,3386,3165,2942,2879,2711,2588,2456,2353,2268,2139,2051,1982,1876,1745,1672,1544,1354
Total Female Chinese,1389091,1366126,1345666,1356036,1347655,1336197,1323090,1310818,1296747,1283650,1271453,1260077,1248347,1238041,1225719,1212536,1201241,1191931,1182811,1173969,1165359,1168874,1159546,1148096
  0 - 4 Years,53316,54332,55009,56708,57438,57752,58662,58773,57333,56652,56479,56386,56162,56559,56241,55294,55317,56048,58551,60783,62736,65660,68562,70283
  5 - 9 Years,62227,62614,62520,61734,61199,61061,60767,60261,60413,60000,59189,58987,59417,61900,63668,65244,67457,70162,71669,73853,77121,79194,80139,81325
  10 - 14 Years,63442,62651,61885,62776,62415,61585,61247,61516,64007,65922,67535,69806,72502,73832,75710,78689,79768,80667,81705,81400,82895,82823,79344,75606
  15 - 19 Years,63724,62854,62870,65797,67818,69445,71680,74350,75565,77354,80403,81497,82156,83192,82727,83882,83296,79548,75696,73973,69320,68112,69778,71309
  20 - 24 Years,70706,72211,74150,76437,78196,81076,82057,82622,83536,83048,84220,83697,80061,76229,74328,69372,67798,69381,70810,71273,72707,73229,74400,74554
  25 - 29 Years,82690,82649,82034,84997,84782,86093,85535,81970,77978,75991,71160,69657,71094,72683,73096,74063,73800,74873,75018,75695,77792,82373,84014,85789
  30 - 34 Years,91444,89758,84969,83266,81957,77363,75731,77573,78561,78364,79432,78791,79434,79397,79617,81026,84259,85855,87702,88463,87778,88180,88306,90330
  35 - 39 Years,84435,81748,82452,85583,86056,87125,85864,86305,85602,85530,86840,90144,91062,92539,92803,91336,90015,89746,91378,93843,97637,101863,104603,106312
  40 - 44 Years,92872,90353,89887,91674,92057,93249,95969,96501,97595,97648,96117,94640,93661,94745,96534,99606,101741,104103,105571,107451,108568,111305,112595,112420
  45 - 49 Years,97162,98721,98284,101505,101972,100408,98304,96979,97551,99013,101778,103703,105791,106681,108156,108861,109783,110985,110963,110071,108001,106438,102699,98830
  50 - 54 Years,102643,99284,97053,99324,100791,103336,104771,106597,107209,108537,109187,109961,110946,110757,109540,107327,104514,100883,96969,94009,91184,89502,87489,81200
  55 - 59 Years,103609,103942,104731,106974,108375,108881,109346,110132,109917,108706,106535,103687,99987,96048,93012,90026,87545,85532,79356,70413,64170,57327,50476,50564
  60 - 64 Years,107578,107067,106936,108204,107101,104920,101936,98323,94347,91366,88514,86071,84090,77943,69042,62910,55705,49005,49139,51555,51326,51020,48504,44436
  65 - 69 Years,102442,98777,94567,91937,89111,86249,83746,81691,75601,67098,61183,54118,47580,47558,49807,49538,48849,46426,42458,39952,37020,36114,36230,35958
  70 - 74 Years,82910,79882,77535,72608,64409,58571,51723,45365,45220,47355,47064,46422,44128,40238,37649,34718,33589,33608,33245,31635,30811,30328,29607,28577
  75 - 79 Years,54672,48007,41972,41996,43777,43372,42698,40510,36887,34479,31669,30446,30352,29914,28241,27433,26660,25721,24646,22905,20624,20691,19304,18201
  80 - 84 Years,37763,37179,35218,32158,29929,27314,26107,25887,25380,23925,23017,22305,21469,20499,19121,17504,16266,15148,14301,13913,13567,13140,12666,12211
  85 - 89 Years,20894,19924,19924,19448,18161,17235,16674,16007,15257,14198,13034,12086,11170,10428,9968,9591,9131,8788,8483,8058,7797,7641,7310,7012
  65 Years & Over,313243,297942,282886,271057,257498,243903,231221,218916,207133,195519,184064,173050,161984,155536,151245,144900,140243,135143,128284,121187,114124,111848,108637,105138
  70 Years & Over,210801,199165,188319,179120,168387,157654,147475,137225,131532,128421,122881,118932,114404,107978,101438,95362,91394,88717,85826,81235,77104,75734,72407,69180
  75 Years & Over,127891,119283,110784,106512,103978,99083,95752,91860,86312,81066,75817,72510,70276,67740,63789,60644,57805,55109,52581,49600,46293,45406,42800,40603
  80 Years & Over,73219,71276,68812,64516,60201,55711,53054,51350,49425,46587,44148,42064,39924,37826,35548,33211,31145,29388,27935,26695,25669,24715,23496,22402
  85 Years & Over,35456,34097,33594,32358,30272,28397,26947,25463,24045,22662,21131,19759,18455,17327,16427,15707,14879,14240,13634,12782,12102,11575,10830,10191
  90 Years & Over,14562,14173,13670,12910,12111,11162,10273,9456,8788,8464,8097,7673,7285,6899,6459,6116,5748,5452,5151,4724,4305,3934,3520,3179
Total Indians,272628,266541,258961,262860,261376,258857,255836,253292,250349,247398,245162,243169,241305,237473,235988,231607,228385,225615,221998,219424,217156,220067,217570,215150
  0 - 4 Years,12364,12402,12296,12594,12768,12831,12727,12732,12514,12553,12754,13266,13766,13968,13869,13786,13901,14187,14451,14935,15514,16234,16733,17119
  5 - 9 Years,13396,13323,13175,13287,13489,13661,14057,14410,14807,14929,15210,15454,15802,15965,16310,16589,16941,17364,17529,17835,18346,19066,19381,19721
  10 - 14 Years,14494,14802,14964,15630,15872,16116,16177,16419,16675,17049,17441,17821,18200,18340,18560,18847,19136,19443,19697,19847,19683,19603,18954,18173
  15 - 19 Years,17516,17232,17096,17425,17775,18048,18268,18499,18601,18870,19209,19629,19873,20056,20052,19832,19560,18959,18167,17504,16762,16344,15935,15651
  20 - 24 Years,19216,19132,18891,19154,19284,19486,19704,19923,20217,20306,20124,19813,19222,18421,17792,16940,16356,15847,15487,14964,14462,14022,13413,12829
  25 - 29 Years,20006,19778,19448,20250,20263,20102,19736,19140,18378,17795,17084,16604,16266,15998,15524,14870,14080,13501,12831,12469,12659,13399,13917,14595
  30 - 34 Years,20385,19763,18580,18543,18157,17507,17021,16680,16507,16080,15719,15171,14790,14185,13783,13667,13947,14324,14729,15097,15531,16238,16915,17818
  35 - 39 Years,18162,17429,16778,17215,17011,16651,16044,15609,15203,14943,15195,15709,16271,16551,16697,16725,16864,17363,18011,18784,19670,20975,21422,21693
  40 - 44 Years,17767,16903,16133,16310,16198,16458,16795,17178,17662,17824,18144,18341,18775,19222,19797,20381,20959,21306,21303,21545,21380,21731,21332,20779
  45 - 49 Years,17836,17881,17818,18743,18969,19092,19129,19396,19842,20359,20981,21490,21734,21722,21831,21553,21411,20944,20317,19491,18597,17932,17148,16190
  50 - 54 Years,19788,19567,19290,20201,20693,21186,21578,21715,21599,21774,21456,21103,20554,19782,19378,18482,17466,16637,15609,15082,14476,14050,13646,12373
  55 - 59 Years,21076,21113,20736,21218,21336,21038,20721,20173,19522,18533,17606,16646,15872,14865,14716,14045,13409,13008,11795,10216,8954,7802,6563,6477
  60 - 64 Years,20303,19722,18867,18752,17963,17080,16134,15354,14407,13798,13190,12588,12179,10966,9722,8468,7254,6080,5972,6189,6206,6395,6251,6141
  65 - 69 Years,16101,14976,14059,13576,13072,12474,11887,11482,10376,8922,7764,6599,5516,5394,5712,5696,5770,5613,5504,5357,5345,5657,5881,6037
  70 - 74 Years,11344,10682,10170,9436,8178,7132,6031,5032,4884,5012,4985,5062,4899,4770,4744,4662,4763,4854,4903,4966,5032,5266,5275,5308
  75 - 79 Years,6170,5214,4211,4200,4350,4290,4348,4225,4089,3921,3829,3779,3766,3718,4016,3957,3752,3553,3293,2907,2498,3418,3135,2761
  80 - 84 Years,3401,3413,3289,3220,3081,2981,2950,2938,2860,2764,2682,2540,2405,2269,2135,1879,1712,1633,1533,1475,1394,1327,1149,1007
  85 - 89 Years,1948,1905,1905,1903,1848,1778,1673,1592,1506,1362,1253,1081,979,881,891,846,779,716,628,544,456,431,386,355
  65 Years & Over,40319,37494,34889,33538,31598,29601,27745,26064,24415,22585,21049,19534,18001,17432,17957,17422,17101,16652,16100,15466,14916,16276,15960,15591
  70 Years & Over,24218,22518,20830,19962,18526,17127,15858,14582,14039,13663,13285,12935,12485,12038,12245,11726,11331,11039,10596,10109,9571,10619,10079,9554
  75 Years & Over,12874,11836,10660,10526,10348,9995,9827,9550,9155,8651,8300,7873,7586,7268,7501,7064,6568,6185,5693,5143,4539,5353,4804,4246
  80 Years & Over,6704,6622,6449,6326,5998,5705,5479,5325,5066,4730,4471,4094,3820,3550,3485,3107,2816,2632,2400,2236,2041,1935,1669,1485
  85 Years & Over,3303,3209,3160,3106,2917,2724,2529,2387,2206,1966,1789,1554,1415,1281,1350,1228,1104,999,867,761,647,608,520,478
  90 Years & Over,1355,1304,1255,1203,1069,946,856,795,700,604,536,473,436,400,459,382,325,283,239,217,191,177,134,123
Total Male Indians,137230,134463,131025,132339,131528,130417,128961,127779,126543,125177,124091,123123,122291,120345,119742,117483,115754,114417,112635,111471,110463,112468,111424,110376
  0 - 4 Years,6377,6356,6305,6447,6533,6595,6573,6525,6398,6365,6467,6736,7028,7132,7067,7082,7087,7257,7443,7746,8037,8386,8618,8768
  5 - 9 Years,6847,6853,6707,6736,6822,6895,7103,7290,7500,7560,7716,7790,8001,8144,8380,8526,8693,8891,8942,9083,9330,9757,9867,10023
  10 - 14 Years,7306,7436,7542,7872,7989,8126,8107,8245,8426,8674,8875,9066,9225,9288,9410,9548,9738,9863,9961,10035,9972,9898,9669,9341
  15 - 19 Years,8810,8682,8648,8852,9066,9206,9306,9376,9432,9572,9717,9978,10045,10116,10090,10025,9850,9637,9319,8976,8600,8436,8230,8048
  20 - 24 Years,10119,10079,9926,9884,9911,9987,10112,10171,10290,10330,10245,10042,9822,9453,9115,8669,8425,8164,7931,7659,7391,7193,6850,6545
  25 - 29 Years,10370,10226,10014,10310,10270,10197,9982,9760,9419,9096,8700,8517,8307,8150,7900,7564,7101,6756,6442,6317,6416,6687,6952,7333
  30 - 34 Years,10319,10006,9589,9515,9235,8882,8679,8490,8350,8140,7931,7612,7418,7109,6947,6858,6897,7099,7380,7513,7760,8185,8529,8952
  35 - 39 Years,9249,8945,8631,8667,8546,8337,8010,7791,7613,7621,7811,8084,8453,8618,8640,8658,8767,8981,9234,9534,9950,10449,10609,10733
  40 - 44 Years,8763,8308,7932,8012,8074,8296,8517,8868,9234,9354,9600,9806,10039,10201,10379,10568,10691,10759,10671,10867,10871,11057,10888,10612
  45 - 49 Years,8836,8941,9080,9673,9849,10019,10165,10308,10576,10753,11007,11106,11146,11042,11154,11015,11015,10782,10460,9929,9330,8948,8520,8008
  50 - 54 Years,10353,10363,10265,10727,10927,11134,11146,11126,11016,11125,11015,10904,10611,10180,9861,9277,8773,8312,7720,7490,7143,6840,6658,6053
  55 - 59 Years,11035,10924,10682,10768,10818,10704,10619,10349,10012,9414,8809,8325,7899,7341,7253,6899,6509,6313,5716,4945,4368,3726,3103,3040
  60 - 64 Years,10256,10069,9669,9538,9032,8456,7968,7542,7035,6760,6421,6054,5832,5262,4652,4052,3422,2829,2756,2828,2790,2920,2866,2849
  65 - 69 Years,7808,7317,6861,6520,6284,5975,5623,5402,4894,4180,3652,3047,2501,2431,2528,2469,2528,2485,2457,2436,2570,2916,3247,3539
  70 - 74 Years,5330,4937,4664,4306,3710,3254,2702,2220,2119,2141,2078,2125,2048,2001,2043,2121,2319,2518,2701,2915,3088,3390,3476,3594
  75 - 79 Years,2722,2252,1787,1771,1779,1716,1737,1680,1640,1589,1631,1695,1787,1874,2234,2289,2206,2099,1962,1743,1508,2380,2215,1928
  80 - 84 Years,1274,1278,1218,1194,1173,1192,1234,1310,1360,1389,1393,1331,1285,1240,1220,1064,1004,1010,962,939,895,880,757,671
  85 - 89 Years,700,739,766,835,870,877,847,827,806,743,697,592,559,502,533,521,497,461,415,364,307,290,268,248
  65 Years & Over,18590,17275,16035,15338,14456,13583,12674,11938,11242,10413,9777,9103,8465,8309,8894,8742,8786,8774,8660,8549,8505,9986,10065,10071
  70 Years & Over,10782,9958,9174,8818,8172,7608,7051,6536,6348,6233,6125,6056,5964,5878,6366,6273,6258,6289,6203,6113,5935,7070,6818,6532
  75 Years & Over,5452,5021,4510,4512,4462,4354,4349,4316,4229,4092,4047,3931,3916,3877,4323,4152,3939,3771,3502,3198,2847,3680,3342,2938
  80 Years & Over,2730,2769,2723,2741,2683,2638,2612,2636,2589,2503,2416,2236,2129,2003,2089,1863,1733,1672,1540,1455,1339,1300,1127,1010
  85 Years & Over,1456,1491,1505,1547,1510,1446,1378,1326,1229,1114,1023,905,844,763,869,799,729,662,578,516,444,420,370,339
  90 Years & Over,756,752,739,712,640,569,531,499,423,371,326,313,285,261,336,278,232,201,163,152,137,130,102,91
Total Female Indians,135398,132078,127936,130521,129848,128440,126875,125513,123806,122221,121071,120046,119014,117128,116246,114124,112631,111198,109363,107953,106693,107599,106146,104774
  0 - 4 Years,5987,6046,5991,6147,6235,6236,6154,6207,6116,6188,6287,6530,6738,6836,6802,6704,6814,6930,7008,7189,7477,7848,8115,8351
  5 - 9 Years,6549,6470,6468,6551,6667,6766,6954,7120,7307,7369,7494,7664,7801,7821,7930,8063,8248,8473,8587,8752,9016,9309,9514,9698
  10 - 14 Years,7188,7366,7422,7758,7883,7990,8070,8174,8249,8375,8566,8755,8975,9052,9150,9299,9398,9580,9736,9812,9711,9705,9285,8832
  15 - 19 Years,8706,8550,8448,8573,8709,8842,8962,9123,9169,9298,9492,9651,9828,9940,9962,9807,9710,9322,8848,8528,8162,7908,7705,7603
  20 - 24 Years,9097,9053,8965,9270,9373,9499,9592,9752,9927,9976,9879,9771,9400,8968,8677,8271,7931,7683,7556,7305,7071,6829,6563,6284
  25 - 29 Years,9636,9552,9434,9940,9993,9905,9754,9380,8959,8699,8384,8087,7959,7848,7624,7306,6979,6745,6389,6152,6243,6712,6965,7262
  30 - 34 Years,10066,9757,8991,9028,8922,8625,8342,8190,8157,7940,7788,7559,7372,7076,6836,6809,7050,7225,7349,7584,7771,8053,8386,8866
  35 - 39 Years,8913,8484,8147,8548,8465,8314,8034,7818,7590,7322,7384,7625,7818,7933,8057,8067,8097,8382,8777,9250,9720,10526,10813,10960
  40 - 44 Years,9004,8595,8201,8298,8124,8162,8278,8310,8428,8470,8544,8535,8736,9021,9418,9813,10268,10547,10632,10678,10509,10674,10444,10167
  45 - 49 Years,9000,8940,8738,9070,9120,9073,8964,9088,9266,9606,9974,10384,10588,10680,10677,10538,10396,10162,9857,9562,9267,8984,8628,8182
  50 - 54 Years,9435,9204,9025,9474,9766,10052,10432,10589,10583,10649,10441,10199,9943,9602,9517,9205,8693,8325,7889,7592,7333,7210,6988,6320
  55 - 59 Years,10041,10189,10054,10450,10518,10334,10102,9824,9510,9119,8797,8321,7973,7524,7463,7146,6900,6695,6079,5271,4586,4076,3460,3437
  60 - 64 Years,10047,9653,9198,9214,8931,8624,8166,7812,7372,7038,6769,6534,6347,5704,5070,4416,3832,3251,3216,3361,3416,3475,3385,3292
  65 - 69 Years,8293,7659,7198,7056,6788,6499,6264,6080,5482,4742,4112,3552,3015,2963,3184,3227,3242,3128,3047,2921,2775,2741,2634,2498
  70 - 74 Years,6014,5745,5506,5130,4468,3878,3329,2812,2765,2871,2907,2937,2851,2769,2701,2541,2444,2336,2202,2051,1944,1876,1799,1714
  75 - 79 Years,3448,2962,2424,2429,2571,2574,2611,2545,2449,2332,2198,2084,1979,1844,1782,1668,1546,1454,1331,1164,990,1038,920,833
  80 - 84 Years,2127,2135,2071,2026,1908,1789,1716,1628,1500,1375,1289,1209,1120,1029,915,815,708,623,571,536,499,447,392,336
  85 - 89 Years,1248,1166,1139,1068,978,901,826,765,700,619,556,489,420,379,358,325,282,255,213,180,149,141,118,107
  65 Years & Over,21729,20219,18854,18200,17142,16018,15071,14126,13173,12172,11272,10431,9536,9123,9063,8680,8315,7878,7440,6917,6411,6290,5895,5520
  70 Years & Over,13436,12560,11656,11144,10354,9519,8807,8046,7691,7430,7160,6879,6521,6160,5879,5453,5073,4750,4393,3996,3636,3549,3261,3022
  75 Years & Over,7422,6815,6150,6014,5886,5641,5478,5234,4926,4559,4253,3942,3670,3391,3178,2912,2629,2414,2191,1945,1692,1673,1462,1308
  80 Years & Over,3974,3853,3726,3585,3315,3067,2867,2689,2477,2227,2055,1858,1691,1547,1396,1244,1083,960,860,781,702,635,542,475
  85 Years & Over,1847,1718,1655,1559,1407,1278,1151,1061,977,852,766,649,571,518,481,429,375,337,289,245,203,188,150,139
  90 Years & Over,599,552,516,491,429,377,325,296,277,233,210,160,151,139,123,104,93,82,76,65,54,47,32,32
Other Ethnic Groups (Total),61627,58414,54997,54856,53458,52078,50807,49683,48321,47448,46300,45081,44299,43636,41094,38095,36118,34869,33890,33455,32927,33631,32991,32244
  0 - 4 Years,5262,5345,5201,5171,5162,5192,5279,5256,5123,5029,5009,4952,4933,4910,4484,3991,3696,3546,3508,3507,3472,3646,3695,3659
  5 - 9 Years,5574,5443,5243,5302,5230,5167,5039,5061,4949,4784,4552,4355,4193,4244,4047,3781,3698,3624,3549,3521,3490,3710,3642,3542
  10 - 14 Years,5315,4910,4677,4834,4675,4497,4336,4128,4131,4163,4131,4191,4176,4071,3809,3563,3418,3364,3277,3252,3298,3366,3190,3019
  15 - 19 Years,4715,4334,4015,4185,4210,4183,4216,4212,4059,3876,3738,3603,3543,3457,3335,3309,3188,2980,2837,2780,2676,2582,2480,2383
  20 - 24 Years,4541,4428,4293,4218,3957,3787,3660,3520,3456,3408,3426,3209,3058,2954,2813,2545,2330,2264,2198,2040,1888,1868,1822,1751
  25 - 29 Years,4383,4065,3695,3677,3569,3575,3462,3273,3053,2956,2733,2568,2602,2620,2417,2124,1943,1839,1728,1673,1718,1779,1774,1796
  30 - 34 Years,4186,3973,3630,3445,3342,3081,2884,2870,2799,2665,2598,2515,2498,2514,2333,2104,1966,1871,1874,1890,1882,1941,2019,2077
  35 - 39 Years,4195,3896,3561,3375,3148,2989,2817,2727,2643,2664,2707,2811,2862,2979,2729,2389,2166,2177,2125,2186,2303,2518,2557,2629
  40 - 44 Years,3856,3414,3111,2989,2998,3005,3054,3074,3123,3136,3109,3029,3078,3030,2822,2620,2619,2563,2571,2681,2676,2738,2720,2642
  45 - 49 Years,3554,3480,3329,3440,3395,3333,3247,3243,3135,3099,3051,3100,3075,3025,2994,2851,2732,2656,2566,2453,2382,2330,2205,2125
  50 - 54 Years,3706,3485,3347,3333,3248,3172,3182,3118,3028,3075,3025,2962,2863,2754,2574,2424,2264,2102,2022,2025,1943,1976,1993,1801
  55 - 59 Years,3308,3187,3009,3058,3046,2971,2874,2772,2676,2572,2484,2325,2181,2070,2017,1896,1868,1886,1707,1478,1290,1091,881,923
  60 - 64 Years,2936,2785,2586,2587,2462,2359,2211,2074,1956,1943,1868,1840,1865,1696,1439,1243,1027,821,846,925,966,1022,1055,1041
  65 - 69 Years,2250,2041,1873,1846,1801,1727,1704,1704,1562,1377,1204,1006,803,825,868,909,921,949,942,953,958,979,967,978
  70 - 74 Years,1591,1525,1486,1441,1255,1082,898,726,738,804,835,854,882,871,849,853,858,853,877,867,858,868,876,843
  75 - 79 Years,948,780,613,647,696,719,736,768,753,760,743,749,733,744,740,724,715,699,622,589,537,650,601,561
  80 - 84 Years,577,583,608,615,584,590,594,567,589,612,611,585,562,498,453,416,391,394,381,384,355,339,295,271
  85 - 89 Years,413,420,398,410,412,420,399,392,351,337,300,267,245,236,243,235,219,188,180,163,152,139,137,129
  65 Years & Over,6096,5669,5300,5242,5016,4767,4546,4355,4190,4078,3869,3621,3372,3312,3281,3255,3203,3176,3082,3044,2943,3064,2958,2856
  70 Years & Over,3846,3628,3427,3396,3215,3040,2842,2651,2628,2701,2665,2615,2569,2487,2413,2346,2282,2227,2140,2091,1985,2085,1991,1878
