,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
  80 - 84 Years,291,254,236,214,220,211,192,187,153,132,48,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,5093,4730,4387,4057,3801,3486,3228,2946,2652,2479,950,385
  70 Years & Over,2750,2524,2295,2040,1885,1743,1619,1469,1323,1201,440,181
  75 Years & Over,1201,1100,1011,896,820,737,672,623,555,528,191,76
  80 Years & Over,427,386,365,320,328,309,285,265,219,200,71,23
  85 Years & Over,135,132,130,106,108,97,93,78,66,68,23,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Total),31881,31450,30844,30187,29481,28651,27802,26890,25948,24956,18422,19534
  0 - 4 Years,3867,4033,4206,4344,4483,4397,4268,3953,3496,3011,1490,2212
  5 - 9 Years,3634,3687,3582,3325,3017,2890,2676,2460,2353,2228,1466,2440
  10 - 14 Years,2958,2783,2563,2438,2319,2143,2001,1878,1774,1632,1603,2421
  15 - 19 Years,2161,1996,1892,1826,1708,1623,1602,1627,1620,1651,2064,2161
  20 - 24 Years,1695,1680,1697,1676,1699,1700,1668,1632,1716,1786,1942,1709
  25 - 29 Years,1804,1794,1769,1853,1900,1944,2082,2223,2274,2334,1666,862
  30 - 34 Years,2139,2252,2383,2420,2472,2530,2524,2499,2496,2425,1526,1140
  35 - 39 Years,2694,2698,2659,2648,2542,2427,2317,2210,2059,1983,795,1185
  40 - 44 Years,2525,2438,2295,2136,2042,1986,1915,1919,1934,1748,1052,1147
  45 - 49 Years,2072,1978,1961,1967,1772,1513,1294,1063,869,898,1042,1129
  50 - 54 Years,1538,1319,1089,884,920,984,1039,1075,1107,1089,1001,950
  55 - 59 Years,982,1042,1065,1091,1071,1064,1062,1085,1066,1116,876,703
  60 - 64 Years,1028,1032,1042,1028,1058,1048,1046,1059,1073,1011,672,534
  65 - 69 Years,964,967,957,967,933,921,890,865,834,836,496,437
  70 - 74 Years,814,788,770,732,718,692,679,649,593,549,319,234
  75 - 79 Years,541,513,488,441,415,391,366,357,365,360,232,134
  80 - 84 Years,252,248,237,236,247,243,223,199,191,186,120,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,2785,2718,2641,2551,2481,2401,2309,2208,2110,2044,1227,941
  70 Years & Over,1821,1751,1684,1584,1548,1480,1419,1342,1277,1208,731,504
  75 Years & Over,1008,963,913,852,830,788,739,694,684,659,412,270
  80 Years & Over,466,450,426,411,416,396,374,337,319,299,180,136
  85 Years & Over,214,202,189,175,169,153,151,138,128,113,60,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Males),15521,15369,15155,14857,14570,14240,13855,13442,13036,12556,9335,9958
  0 - 4 Years,1956,2053,2169,2195,2290,2268,2205,2053,1842,1581,757,1163
  5 - 9 Years,1886,1914,1863,1756,1586,1505,1385,1268,1212,1128,757,1248
  10 - 14 Years,1553,1453,1329,1258,1188,1094,1017,956,907,844,798,1251
  15 - 19 Years,1097,1009,962,933,877,830,821,859,859,862,1068,1108
  20 - 24 Years,851,843,876,876,877,882,848,816,828,884,1023,890
  25 - 29 Years,887,856,827,832,883,949,1049,1113,1163,1176,871,439
  30 - 34 Years,955,1047,1110,1158,1170,1203,1191,1191,1222,1223,794,523
  35 - 39 Years,1212,1200,1205,1226,1217,1163,1147,1100,1037,1026,402,610
  40 - 44 Years,1156,1152,1096,1035,1019,1023,1002,1018,1037,920,483,595
  45 - 49 Years,1044,1015,1023,1036,916,782,676,554,446,460,530,604
  50 - 54 Years,776,672,552,441,466,488,496,523,532,509,500,524
  55 - 59 Years,467,486,504,510,492,483,491,498,500,533,473,358
  60 - 64 Years,458,460,464,474,496,511,505,508,512,481,345,261
  65 - 69 Years,450,455,441,446,436,432,423,409,391,418,233,212
  70 - 74 Years,370,372,369,345,351,328,324,315,286,248,153,81
  75 - 79 Years,245,232,221,201,172,170,152,146,147,150,92,49
  80 - 84 Years,96,92,87,81,85,78,76,72,79,78,38,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,1224,1210,1175,1127,1096,1059,1023,985,940,929,534,384
  70 Years & Over,773,755,734,681,660,628,601,575,549,511,301,172
  75 Years & Over,403,383,365,336,309,299,277,260,264,263,148,91
  80 Years & Over,158,151,144,135,137,129,125,115,117,113,56,42
  85 Years & Over,62,59,57,54,52,51,50,42,38,35,18,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Females),16360,16081,15689,15330,14911,14411,13947,13448,12912,12400,9087,9576
  0 - 4 Years,1911,1980,2037,2149,2193,2129,2063,1900,1654,1430,733,1049
  5 - 9 Years,1748,1773,1719,1569,1431,1385,1292,1192,1141,1100,709,1192
  10 - 14 Years,1405,1330,1235,1180,1132,1049,985,922,868,788,805,1170
  15 - 19 Years,1064,987,931,893,831,793,781,768,761,789,996,1053
  20 - 24 Years,844,837,820,800,822,818,820,815,888,902,919,819
  25 - 29 Years,917,939,942,1021,1018,995,1033,1110,1111,1158,795,423
  30 - 34 Years,1184,1205,1273,1263,1302,1327,1333,1309,1274,1202,732,617
  35 - 39 Years,1482,1498,1454,1422,1325,1264,1170,1110,1021,957,393,575
  40 - 44 Years,1369,1286,1199,1100,1024,963,913,900,898,828,569,552
  45 - 49 Years,1028,962,938,932,857,731,618,509,424,438,512,525
  50 - 54 Years,761,648,537,443,454,497,543,552,575,580,501,426
  55 - 59 Years,516,556,562,580,579,581,571,587,566,583,403,345
  60 - 64 Years,570,572,578,553,562,537,541,551,561,530,327,273
  65 - 69 Years,513,512,516,521,497,489,468,456,443,418,263,225
  70 - 74 Years,443,416,402,387,367,364,356,334,307,301,166,153
  75 - 79 Years,297,281,267,240,243,221,214,211,218,210,140,85
  80 - 84 Years,156,156,149,155,162,165,147,126,112,108,82,na
  85 - 89 Years,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,1561,1508,1466,1424,1386,1341,1286,1223,1170,1115,693,557
  70 Years & Over,1048,996,950,903,889,852,818,767,727,697,430,332
  75 Years & Over,605,580,548,516,522,488,462,433,420,396,264,179
  80 Years & Over,308,299,281,276,279,267,248,222,203,186,124,94
  85 Years & Over,152,142,132,121,117,102,101,96,91,78,42,na
  90 Years & Over,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
"Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).",,,,,,,,,,,,
,,,,,,,,,,,,
Notation:,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,
Notes,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,
,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,
Date generated: 14/12/2023,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,
